,year,batteries_replaced_unweighted,cost_bat_replacement_kwh,All Batteries Replaced %,"Batteries Replace, Non-Recall % ) ","Batteries Replaced, Recall % ",2nd Use Batteries Made Available by Year in CA,2nd Use Batteries Available in CA,Number Batteries Replaced,Cummulative Batteries Replaced,Price of Battery Replacement /kWh,Insurance Payout Total /kWh
0,2011,128,153792.0,7.5%,7.5%,0.0%,"3,560","3,560",267,267,$576.00,"$153,792.00"
1,2012,444,269813.38,3.8%,3.8%,0.0%,"12,327","15,887",468,604,$576.00,"$269,813.38"
2,2013,"1,005",739953.79,4.6%,4.6%,0.0%,"27,927","43,814","1,285","2,015",$576.00,"$739,953.79"
3,2014,"1,240",793751.04,4.0%,4.0%,0.0%,"34,451","78,265","1,378","3,131",$576.00,"$793,751.04"
4,2015,"1,128",324995.33,1.8%,1.8%,0.0%,"31,346","109,611",564,"1,973",$576.00,"$324,995.33"
5,2016,"1,510",169102.08,0.7%,0.7%,0.0%,"41,940","151,551",294,"1,061",$576.00,"$169,102.08"
6,2017,"2,788",4995551.23,11.2%,0.1%,11.1%,"77,436","228,987","8,673","25,647",$576.00,"$4,995,551.23"
7,2018,"4,830",1545684.48,2.0%,0.7%,1.3%,"134,174","363,161","2,683","7,263",$576.00,"$1,545,684.48"
8,2019,"3,951",4487845.25,7.1%,1.3%,5.8%,"109,738","472,899","7,791","33,576",$576.00,"$4,487,845.25"
9,2020,"3,869",1114145.28,1.8%,0.8%,1.0%,"107,460","580,359","1,934","10,446",$576.00,"$1,114,145.28"
10,2021,"7,198",1957988.74,1.7%,1.8%,0.1%,"199,958","780,317","3,399","13,265",$576.00,"$1,957,988.74"
11,2022,"10,014",961296.77,0.6%,0.4%,0.2%,"278,153","1,058,470","1,669","6,351",$576.00,"$961,296.77"
12,2023,"10,014",640864.51,0.4%,0.4%,0.0%,"278,153","1,336,623","1,113","5,346",$576.00,$nan
